Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3081.4,22.01,1.5,31.88,0.4,0.37,0.67,1.44,,55.03,32.85,15.28,,32.850746268656714,15.284722222222223,81.0810810810811,114.92537313432835,0.4051592039800994,0.13299693362193363
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5601.13,8.23,0.68,11.1,,1.0,1.17,1.47,27.15,,7.0,5.62,0.26,7.034188034188035,5.598639455782314,16.999999999999993,25.64102564102564,0.4137757667169434,0.21834693877551026
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5355.53,20.13,,39.71,,-0.31,0.47,1.15,20.0,,42.53,17.45,2.13,42.829787234042556,17.504347826086956,100.0,144.68085106382978,0.42829787234042555,0.12098593350383632
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,5826.61,20.6,,21.53,-0.13,-0.22,0.45,1.29,,,45.78,15.91,,45.77777777777778,15.968992248062015,100.0,186.66666666666666,0.4577777777777778,0.08554817275747509
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,6554.55,185.55,1.92,120.29,-4.33,-4.31,3.87,8.06,,,47.95,23.02,,47.945736434108525,23.021091811414394,100.0,108.26873385012918,0.47945736434108527,0.21262917735124992
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,4416.26,87.02,0.14,113.2,-3.01,-2.25,1.7,5.65,,,51.19,15.4,,51.188235294117646,15.401769911504424,100.0,232.3529411764706,0.5118823529411765,0.06628609835331017
TransAlta,TAC,NYSE,12,Utility - Electric Power,Utilities,3715.86,12.48,0.66,17.7,0.15,-0.3,0.22,0.45,,83.2,56.73,27.73,,56.72727272727273,27.733333333333334,100.0,104.54545454545455,0.5672727272727273,0.2652753623188406
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8244.42,42.41,0.46,55.31,1.43,0.77,1.16,2.41,,29.66,36.48,17.62,,36.560344827586206,17.59751037344398,50.64935064935063,107.7586206896552,0.7218324491600356,0.1633048962655601
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,4055.32,13.75,1.05,17.17,0.68,0.7,0.85,1.07,,20.22,16.18,12.85,,16.176470588235293,12.850467289719626,21.42857142857144,25.88235294117649,0.7549019607843133,0.49649532710280336
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,4363.11,23.59,0.29,60.65,-0.6,-1.6,0.31,1.68,,,76.1,14.04,,76.09677419354838,14.041666666666668,100.0,441.9354838709677,0.7609677419354839,0.03177311435523115
Comstock Resources,CRK,NYSE,12,Oil and Gas - Exploration and Production - United States,Oils-Energy,5098.56,17.36,0.22,20.87,0.56,0.5,0.67,1.04,,31.0,26.07,16.61,,25.91044776119403,16.69230769230769,34.00000000000001,55.223880597014926,0.7620719929762948,0.3022661122661122
StepStone Group,STEP,NSDQ,3,Financial - Miscellaneous Services,Finance,6285.2,52.745,1.34,71.88,2.27,2.1,2.6,3.43,,23.24,20.33,15.38,,20.28653846153846,15.377551020408163,23.809523809523814,31.92307692307692,0.8520346153846151,0.4817064175067618
Bilibili,BILI,NSDQ,12,Broadcast Radio and Television,Consumer Discretionary,9103.06,21.95,0.79,29.84,0.82,0.8,1.0,1.42,,26.77,21.84,15.48,,21.95,15.45774647887324,25.0,41.99999999999999,0.878,0.3680415828303153
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5027.12,64.76,1.87,70.1,2.84,2.61,3.2,4.27,26.68,22.8,20.26,15.17,0.76,20.2375,15.166276346604219,22.60536398467434,33.437499999999986,0.8952521186440674,0.4535708813937712
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,5505.36,18.49,2.34,16.0,-1.74,-1.35,0.2,1.06,,,90.93,17.39,,92.44999999999999,17.443396226415093,100.0,430.0,0.9244999999999999,0.040566037735849055
"Life360, Inc.",LIF,NSDQ,12,Security and Safety Services,Industrial Products,3691.48,45.75,2.82,66.37,0.56,1.07,1.43,1.97,,81.7,31.99,23.22,,31.993006993006993,23.22335025380711,33.644859813084096,37.762237762237774,0.9509032634032638,0.614988719684151
