Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3340.4,23.86,1.06,33.2,0.42,0.37,0.76,1.97,,56.81,31.19,12.11,,31.394736842105264,12.111675126903553,105.40540540540539,159.21052631578948,0.2978475033738192,0.07607333137559256
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3503.57,18.97,0.07,58.61,-0.67,-1.6,0.54,1.84,,,35.06,10.32,,35.129629629629626,10.30978260869565,100.0,240.74074074074073,0.3512962962962963,0.0428252508361204
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,9237.17,56.87,1.12,64.39,1.26,1.32,1.95,3.09,34.72,45.13,29.22,18.43,0.84,29.164102564102564,18.40453074433657,47.727272727272705,58.46153846153845,0.6110573870573873,0.31481434167944133
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,6990.69,27.82,,45.0,,-0.31,0.45,1.08,,,61.82,25.88,,61.82222222222222,25.75925925925926,100.0,140.0,0.6182222222222222,0.183994708994709
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3311.24,50.47,1.49,75.0,1.35,1.35,1.91,2.72,,37.38,26.38,18.56,,26.42408376963351,18.55514705882353,41.481481481481474,42.408376963350804,0.637009162303665,0.4375349491648509
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,4120.83,13.84,1.91,15.4,-1.74,-1.35,0.2,1.06,,,68.07,13.02,,69.19999999999999,13.056603773584905,100.0,430.0,0.6919999999999998,0.03036419482229048
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,4814.59,65.635,1.22,89.73,2.84,3.62,4.4,5.8,,23.11,14.93,11.32,,14.917045454545455,11.316379310344828,21.54696132596685,31.818181818181813,0.6923039044289044,0.3556576354679804
Noble Corporation PLC,NE,NYSE,12,Oil and Gas - Drilling,Oils-Energy,6956.91,43.7,1.07,40.25,0.67,0.77,1.15,2.49,,65.22,37.83,17.51,,38.00000000000001,17.55020080321285,49.35064935064935,116.52173913043482,0.7700000000000001,0.15061739495294604
TTM Technologies,TTMI,NSDQ,12,Electronics - Miscellaneous Components,Computer and Technology,9090.33,87.91,1.74,118.5,2.45,2.44,3.24,4.64,,35.88,27.13,18.96,,27.13271604938271,18.946120689655174,32.78688524590165,43.209876543209845,0.8275478395061724,0.43846736453202007
PBF Energy,PBF,NYSE,12,Oil and Gas - Refining and Marketing,Oils-Energy,5057.09,43.25,0.41,32.77,-4.15,-4.75,0.46,1.44,16.08,,93.28,30.12,5.8,94.02173913043478,30.034722222222225,100.0,213.04347826086953,0.9402173913043478,0.1409793083900227
