Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,3522.34,99.9,2.32,106.43,-10.67,-4.31,3.64,8.08,,,27.41,12.36,,27.445054945054945,12.363861386138614,100.0,121.97802197802199,0.2744505494505495,0.10136138613861385
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3199.0,22.85,1.06,33.2,0.42,0.37,0.76,1.97,,54.4,29.87,11.6,,30.065789473684212,11.598984771573605,105.40540540540539,159.21052631578948,0.28523954116059386,0.07285312749087552
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3219.86,17.41,0.07,58.23,-0.6,-1.6,0.37,1.87,,,46.69,9.31,,47.054054054054056,9.310160427807487,100.0,405.4054054054054,0.47054054054054056,0.0229650623885918
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5477.97,21.8,,45.0,,-0.31,0.45,1.1,,,48.44,19.76,,48.44444444444444,19.818181818181817,100.0,144.44444444444446,0.48444444444444446,0.13720279720279718
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,5438.92,107.17,0.34,111.6,-3.01,-2.25,2.1,7.51,,,51.03,14.27,,51.03333333333333,14.270306258322238,100.0,257.6190476190476,0.5103333333333333,0.05539305571622311
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,8654.05,53.28,1.11,65.06,1.26,1.32,1.92,3.03,34.72,42.29,27.8,17.61,0.8,27.75,17.584158415841586,45.45454545454544,57.8125,0.6105000000000002,0.3041584158415842
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,3760.56,12.63,1.9,15.4,-1.74,-1.35,0.2,1.06,,,62.12,11.88,,63.15,11.915094339622641,100.0,430.0,0.6315,0.027709521720052654
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3300.72,50.31,1.49,75.0,1.35,1.35,1.91,2.72,,37.27,26.29,18.5,,26.340314136125656,18.496323529411764,41.481481481481474,42.408376963350804,0.6349897157816008,0.43614787581699327
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,4520.1,61.62,1.22,88.9,2.84,3.62,4.4,5.8,,21.7,14.02,10.62,,14.004545454545452,10.624137931034483,21.54696132596685,31.818181818181813,0.6499545454545453,0.33390147783251234
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8044.17,41.38,0.39,55.15,1.43,0.77,1.16,2.41,,28.94,35.6,17.19,,35.67241379310345,17.1701244813278,50.64935064935063,107.7586206896552,0.7043015030946069,0.15933875518672194
Noble Corporation PLC,NE,NYSE,12,Oil and Gas - Drilling,Oils-Energy,7449.0,46.71,1.07,40.25,0.67,0.77,1.15,2.49,,69.72,40.44,18.72,,40.61739130434783,18.75903614457831,49.35064935064935,116.52173913043482,0.8230366132723113,0.1609917281064556
PBF Energy,PBF,NYSE,12,Oil and Gas - Refining and Marketing,Oils-Energy,5766.83,49.32,0.41,36.46,-4.15,-4.75,0.58,1.53,16.08,,84.37,32.3,5.25,85.0344827586207,32.23529411764706,100.0,163.7931034482759,0.850344827586207,0.19680495356037148
TTM Technologies,TTMI,NSDQ,12,Electronics - Miscellaneous Components,Computer and Technology,9505.81,91.54,1.74,118.5,2.45,2.44,3.24,4.64,,37.36,28.25,19.74,,28.253086419753085,19.72844827586207,32.78688524590165,43.209876543209845,0.8617191358024688,0.45657266009852254
AAON,AAON,NSDQ,12,Building Products - Air Conditioner and Heating,Construction,6520.8,80.01,1.09,114.5,1.35,1.39,2.02,2.94,16.0,59.27,39.61,27.18,2.48,39.60891089108911,27.214285714285715,45.32374100719425,45.54455445544554,0.8739108910891088,0.5975310559006212
Alignment Healthcare,ALHC,NSDQ,12,Medical Services,Medical,3542.5,17.34,1.19,25.5,-0.01,-0.12,0.18,0.42,37.98,,96.33,40.87,2.54,96.33333333333334,41.285714285714285,100.0,133.33333333333334,0.9633333333333334,0.3096428571428571
