Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5213.21,7.66,0.68,10.87,,1.0,1.16,1.45,24.35,,6.6,5.28,0.27,6.603448275862069,5.2827586206896555,15.999999999999993,25.0,0.4127155172413795,0.21131034482758623
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,5302.99,150.12,1.91,126.71,-4.33,-4.31,3.46,7.47,,,43.33,20.09,,43.38728323699422,20.096385542168676,100.0,115.89595375722541,0.43387283236994223,0.1734002343538744
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3141.6,22.44,1.5,31.61,0.4,0.37,0.65,1.19,,56.1,34.52,18.86,,34.52307692307692,18.857142857142858,75.67567567567568,83.07692307692307,0.45619780219780215,0.226984126984127
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,4172.24,82.77,0.14,112.2,-1.22,-2.25,1.7,5.65,,,48.69,14.65,,48.688235294117646,14.649557522123892,100.0,232.3529411764706,0.4868823529411765,0.06304872857622941
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,7030.82,23.32,2.34,19.8,-0.59,-1.35,0.47,1.1,30.43,,49.62,21.14,1.63,49.61702127659575,21.2,100.0,134.04255319148942,0.4961702127659575,0.15815873015873008
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,6462.29,24.29,,39.71,,-0.31,0.48,1.2,20.0,,50.96,20.24,2.55,50.604166666666664,20.241666666666667,100.0,150.0,0.5060416666666666,0.13494444444444445
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,3247.2,11.01,1.04,17.06,0.7,0.7,0.85,1.07,,15.73,12.95,10.29,,12.952941176470588,10.289719626168223,21.42857142857144,25.88235294117649,0.6044705882352938,0.3975573491928629
"Chime Financial, Inc.",CHYM,NSDQ,12,Financial - Miscellaneous Services,Finance,6740.23,17.69,,30.25,-7.43,-4.43,0.27,0.74,,,66.71,23.89,,65.51851851851852,23.905405405405407,100.0,174.07407407407405,0.6551851851851852,0.13732892466935023
Vishay Intertechnology,VSH,NYSE,12,Semiconductor - Discretes,Computer and Technology,5055.62,37.23,1.53,24.33,0.03,-0.04,0.54,1.16,,1241.0,69.37,32.0,,68.94444444444443,32.0948275862069,100.0,114.8148148148148,0.6894444444444443,0.279535595105673
"Lazard, Inc.",LAZ,NYSE,12,Financial - Miscellaneous Services,Finance,5051.62,45.23,1.44,52.33,2.3,2.32,2.85,4.78,32.86,19.67,15.89,9.46,0.48,15.87017543859649,9.462343096234308,22.844827586206918,67.71929824561404,0.6946944720291287,0.1397289006438745
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8250.23,42.44,0.46,55.15,1.43,0.77,1.16,2.41,,29.68,36.51,17.63,,36.58620689655172,17.609958506224064,50.64935064935063,107.7586206896552,0.7223430592396112,0.16342041493775927
Bilibili,BILI,NSDQ,12,Broadcast Radio and Television,Consumer Discretionary,7908.67,19.07,0.79,29.78,0.82,0.8,1.0,1.42,,23.26,18.98,13.45,,19.07,13.429577464788734,25.0,41.99999999999999,0.7628,0.3197518443997318
Catalyst Pharmaceuticals,CPRX,NSDQ,12,Medical - Drugs,Medical,3815.84,31.18,0.72,33.5,2.83,2.53,2.88,3.28,12.47,11.02,10.85,9.51,0.87,10.82638888888889,9.50609756097561,13.833992094861669,13.888888888888884,0.7825932539682535,0.6844390243902442
Himax Technologies,HIMX,NSDQ,12,Electronics - Semiconductors,Computer and Technology,3324.56,19.06,2.03,23.7,0.2,0.25,0.4,0.72,,95.3,47.65,26.47,,47.64999999999999,26.47222222222222,60.00000000000001,79.99999999999999,0.7941666666666665,0.3309027777777778
"Life360, Inc.",LIF,NSDQ,12,Security and Safety Services,Industrial Products,3122.15,38.53,2.81,61.81,0.7,1.07,1.43,1.97,,55.04,26.94,19.56,,26.944055944055947,19.558375634517766,33.644859813084096,37.762237762237774,0.8008372183372188,0.5179347621733407
