Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,5057.27,17.88,,,-0.13,-0.22,0.45,1.29,,,39.73,13.81,,39.73333333333333,13.860465116279068,100.0,186.66666666666666,0.39733333333333326,0.07425249169435215
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5587.52,8.21,0.7,11.1,,1.0,1.17,1.47,27.15,,6.99,5.6,0.26,7.017094017094018,5.585034013605443,16.999999999999993,25.64102564102564,0.41277023629964826,0.2178163265306123
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3172.4,22.66,1.46,31.79,0.4,0.37,0.67,1.44,,56.65,33.82,15.74,,33.82089552238806,15.736111111111112,81.0810810810811,114.92537313432835,0.41712437810945263,0.1369246031746032
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5422.04,20.38,,41.14,,-0.31,0.45,1.1,20.0,,45.29,18.47,2.26,45.288888888888884,18.527272727272724,100.0,144.44444444444446,0.45288888888888884,0.12826573426573423
Ultra Clean,UCTT,NSDQ,12,Electronics - Manufacturing Machinery,Computer and Technology,3448.6,75.81,1.81,81.25,1.05,1.06,1.9,4.2,35.0,72.2,39.9,18.05,1.14,39.900000000000006,18.05,79.24528301886791,121.05263157894738,0.5035000000000002,0.1491086956521739
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3358.8,18.16,0.08,,-0.6,-1.6,0.34,1.87,,,54.01,9.71,,53.41176470588235,9.711229946524064,100.0,450.0,0.5341176470588235,0.021580510992275696
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,5590.31,76.21,1.15,88.46,3.74,3.62,4.57,5.87,,20.38,16.69,12.99,,16.676148796498904,12.98296422487223,26.243093922651937,28.446389496717718,0.6354490383508002,0.456401126982047
Zillow Group Class A,ZG,NSDQ,12,Financial - Mortgage & Related Services,Finance,9582.72,39.94,2.1,74.81,1.64,1.67,2.13,2.76,24.83,24.35,18.77,14.47,0.76,18.751173708920188,14.471014492753623,27.544910179640713,29.5774647887324,0.6807491324760157,0.48925810904071765
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8162.77,41.99,0.46,55.15,1.43,0.77,1.16,2.41,,29.36,36.12,17.44,,36.19827586206897,17.42323651452282,50.64935064935063,107.7586206896552,0.7146839080459774,0.16168763485477172
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,3869.51,13.12,1.06,,0.68,0.7,0.85,1.06,,19.29,15.44,12.34,,15.435294117647059,12.377358490566037,21.42857142857144,24.705882352941178,0.7203137254901957,0.5009883198562444
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,4302.46,14.45,1.93,,-1.74,-1.35,0.2,1.06,,,71.07,13.59,,72.24999999999999,13.632075471698112,100.0,430.0,0.7224999999999998,0.031702501096972355
Arcutis Biotherapeutics,ARQT,NSDQ,12,Medical - Biomedical and Genetics,Medical,3002.84,24.21,1.76,34.75,-0.14,-0.21,0.32,1.19,,,75.07,20.4,,75.65625,20.344537815126053,100.0,271.87499999999994,0.7565625,0.07483048391770504
Bilibili,BILI,NSDQ,12,Broadcast Radio and Television,Consumer Discretionary,9853.7,23.76,0.87,,0.82,0.8,1.04,1.46,,28.98,22.9,16.33,,22.846153846153847,16.27397260273973,30.000000000000004,40.38461538461537,0.7615384615384615,0.40297455968688867
"Life360, Inc.",LIF,NSDQ,12,Security and Safety Services,Industrial Products,3055.58,38.1,3.9,67.16,0.56,1.07,1.43,1.97,,68.04,26.64,19.34,,26.643356643356647,19.34010152284264,33.644859813084096,37.762237762237774,0.7918997668997674,0.512154540327129
Celsius,CELH,NSDQ,12,Food - Miscellaneous,Consumer Staples,8958.18,34.86,1.13,69.11,1.33,1.25,1.56,1.98,18.82,26.21,22.28,17.63,1.18,22.346153846153847,17.606060606060606,24.8,26.923076923076916,0.9010545905707196,0.653939393939394
