Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3346.57,18.12,0.1,61.7,-0.67,-1.6,0.54,1.84,,,33.49,9.86,,33.55555555555556,9.847826086956522,100.0,240.74074074074073,0.33555555555555555,0.04090635451505017
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3886.4,27.76,1.14,33.2,0.42,0.37,0.76,1.97,,66.1,36.29,14.09,,36.526315789473685,14.091370558375635,105.40540540540539,159.21052631578948,0.346531713900135,0.08850778201954944
"Caris Life Sciences,?Inc.",CAI,NSDQ,12,Medical Services,Medical,5510.33,19.53,,36.11,,-1.76,0.32,0.74,38.83,,60.4,26.57,1.56,61.03125,26.391891891891895,100.0,131.25,0.6103125,0.2010810810810811
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,3939.21,13.23,1.9,15.4,-1.74,-1.35,0.2,1.06,,,65.07,12.44,,66.14999999999999,12.481132075471697,100.0,430.0,0.6614999999999999,0.029025888547608597
Arcutis Biotherapeutics,ARQT,NSDQ,12,Medical - Biomedical and Genetics,Medical,3113.14,25.415,1.7,31.75,-0.36,-0.23,0.38,1.16,,,66.88,21.91,,66.88157894736842,21.90948275862069,100.0,205.26315789473682,0.6688157894736843,0.10673850574712646
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,3873.0,14.74,,15.95,-0.1,-0.23,0.22,0.75,,,68.03,19.78,,67.0,19.653333333333332,100.0,240.9090909090909,0.67,0.08157987421383647
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,7927.98,31.55,,45.0,,-0.31,0.45,1.08,,,70.11,29.35,,70.11111111111111,29.212962962962962,100.0,140.0,0.7011111111111111,0.20866402116402116
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3685.64,55.61,1.56,75.0,1.35,1.35,1.91,2.72,,41.19,29.06,20.44,,29.1151832460733,20.444852941176467,41.481481481481474,42.408376963350804,0.7018838818249815,0.4820946804647782
Amneal Pharmaceuticals,AMRX,NSDQ,12,Medical - Drugs,Medical,4558.26,14.5,1.36,15.2,0.75,0.79,0.96,1.18,,19.33,15.1,12.24,,15.104166666666668,12.288135593220339,21.51898734177213,22.916666666666675,0.7018995098039222,0.5362095531587056
PBF Energy,PBF,NYSE,12,Oil and Gas - Refining and Marketing,Oils-Energy,4019.94,34.38,0.5,32.77,-4.15,-4.75,0.46,1.44,16.08,,74.15,23.94,4.61,74.73913043478261,23.875000000000004,100.0,213.04347826086953,0.7473913043478261,0.11206632653061228
Noble Corporation PLC,NE,NYSE,12,Oil and Gas - Drilling,Oils-Energy,7246.67,45.52,1.12,39.17,0.67,0.77,1.15,2.49,,67.94,39.41,18.24,,39.582608695652176,18.281124497991968,49.35064935064935,116.52173913043482,0.8020686498855836,0.1568902475573937
"Kiniksa Pharmaceuticals International, plc",KNSA,NSDQ,12,Medical - Biomedical and Genetics,Medical,3620.76,47.77,0.06,55.88,0.45,0.87,1.27,1.96,,106.16,37.61,24.43,,37.61417322834646,24.372448979591837,45.977011494252885,54.33070866141732,0.8181082677165353,0.44859435078379184
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,5988.65,81.64,1.23,87.34,2.84,3.61,4.39,5.8,,28.75,18.6,14.08,,18.596810933940777,14.075862068965519,21.606648199445978,32.11845102505695,0.8606985573272592,0.43824847150892643
Workiva,WK,NYSE,12,Internet - Software,Computer and Technology,3447.95,61.43,0.62,91.64,1.66,1.61,2.13,2.96,,37.01,28.84,20.75,,28.84037558685446,20.75337837837838,32.29813664596273,38.96713615023475,0.8929423979776093,0.5325866981439269
MP Materials,MP,NYSE,12,Mining - Miscellaneous,Basic Materials,9807.93,55.34,1.6,80.07,-0.47,-0.3,0.59,1.2,,,94.2,46.12,,93.79661016949153,46.116666666666674,100.0,103.38983050847457,0.9379661016949153,0.44604644808743177
CLEAR Secure,YOU,NYSE,12,Internet - Software,Computer and Technology,4563.4,34.27,1.21,40.25,1.77,1.13,1.42,1.88,,19.36,24.13,18.18,,24.13380281690141,18.228723404255323,25.663716814159287,32.3943661971831,0.9403861097620207,0.5627127659574468
