Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Upstart,UPST,NSDQ,12,Financial - Miscellaneous Services,Finance,3205.24,33.49,2.16,45.47,1.64,1.67,2.36,3.38,37.92,20.42,14.21,9.9,0.37,14.190677966101697,9.90828402366864,41.31736526946108,43.220338983050844,0.34345553917956284,0.229250493096647
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5499.05,8.08,0.7,11.1,,1.0,1.17,1.47,27.15,,6.88,5.52,0.25,6.905982905982906,5.496598639455782,16.999999999999993,25.64102564102564,0.40623428858722993,0.21436734693877552
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3127.6,22.34,1.46,31.88,0.4,0.37,0.67,1.44,,55.85,33.34,15.51,,33.34328358208955,15.51388888888889,81.0810810810811,114.92537313432835,0.41123383084577103,0.13499098124098124
Jefferies Financial Group,JEF,NYSE,11,Financial - Miscellaneous Services,Finance,9702.36,47.46,1.52,54.6,3.33,2.81,3.58,4.91,,14.25,13.26,9.67,,13.256983240223464,9.665987780040734,27.402135231316716,37.150837988826815,0.4837938039614019,0.2601822274627506
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,6199.97,21.92,,21.53,-0.13,-0.22,0.45,1.29,,,48.71,16.93,,48.711111111111116,16.992248062015506,100.0,186.66666666666666,0.48711111111111116,0.09102990033222592
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,6116.42,22.99,,39.71,,-0.31,0.45,1.1,20.0,,51.09,20.84,2.55,51.08888888888888,20.9,100.0,144.44444444444446,0.5108888888888888,0.14469230769230768
Ultra Clean,UCTT,NSDQ,12,Electronics - Manufacturing Machinery,Computer and Technology,3776.13,83.01,1.81,81.25,1.05,1.06,1.9,4.2,35.0,79.06,43.69,19.76,1.25,43.68947368421053,19.764285714285716,79.24528301886791,121.05263157894738,0.5513195488721806,0.16327018633540372
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,7206.23,204.0,1.94,120.29,-10.67,-4.31,3.64,8.06,,,55.97,25.31,,56.043956043956044,25.31017369727047,100.0,121.42857142857144,0.5604395604395604,0.2084367245657568
TransAlta,TAC,NYSE,12,Utility - Electric Power,Utilities,3718.83,12.49,0.76,17.7,0.15,-0.3,0.22,0.45,,83.27,56.77,27.76,,56.77272727272727,27.755555555555556,100.0,104.54545454545455,0.5677272727272727,0.265487922705314
"Baldwin Insurance Group, Inc.",BWIN,NSDQ,12,Insurance - Life Insurance,Finance,3590.01,25.13,1.3,29.33,1.69,1.66,1.98,2.45,20.47,14.87,12.68,10.24,0.62,12.691919191919192,10.257142857142856,19.277108433734934,23.737373737373744,0.6583933080808083,0.43210942249240103
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,4058.26,13.76,1.06,17.17,0.68,0.7,0.85,1.07,,20.24,16.19,12.86,,16.188235294117646,12.85981308411215,21.42857142857144,25.88235294117649,0.7554509803921564,0.4968564146134236
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8763.44,45.08,0.46,55.31,1.43,0.77,1.16,2.41,,31.52,38.78,18.73,,38.862068965517246,18.705394190871367,50.64935064935063,107.7586206896552,0.7672767462422638,0.17358605809128624
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,4420.44,23.9,0.08,60.65,-0.6,-1.6,0.31,1.68,,,77.1,14.23,,77.09677419354838,14.226190476190476,100.0,441.9354838709677,0.7709677419354839,0.03219064998262079
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5284.83,68.08,1.87,69.2,2.98,2.61,3.28,4.29,26.68,22.85,20.77,15.88,0.78,20.75609756097561,15.86946386946387,25.670498084291182,30.792682926829286,0.8085584273753188,0.515364767245955
StepStone Group,STEP,NSDQ,3,Financial - Miscellaneous Services,Finance,6174.96,51.82,1.32,71.88,2.27,2.1,2.6,3.43,,22.83,19.97,15.11,,19.93076923076923,15.107871720116618,23.809523809523814,31.92307692307692,0.8370923076923075,0.4732586321964242
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,5005.14,16.81,1.93,16.0,-1.74,-1.35,0.2,1.06,,,82.67,15.81,,84.04999999999998,15.858490566037734,100.0,430.0,0.8404999999999998,0.036880210618692406
Bilibili,BILI,NSDQ,12,Broadcast Radio and Television,Consumer Discretionary,9227.48,22.25,0.87,29.84,0.82,0.8,1.0,1.42,,27.13,22.14,15.7,,22.25,15.669014084507044,25.0,41.99999999999999,0.89,0.37307176391683444
