Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Upstart,UPST,NSDQ,12,Financial - Miscellaneous Services,Finance,3308.6,34.57,2.16,45.41,1.64,1.67,2.36,3.38,37.92,21.08,14.67,10.22,0.39,14.648305084745763,10.227810650887575,41.31736526946108,43.220338983050844,0.3545314419061656,0.2366434621185753
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3255.0,23.25,1.46,31.79,0.4,0.37,0.67,1.44,,58.13,34.7,16.15,,34.70149253731343,16.145833333333336,81.0810810810811,114.92537313432835,0.4279850746268655,0.14048971861471865
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5955.03,8.75,0.7,11.1,,1.0,1.17,1.47,27.15,,7.45,5.97,0.27,7.478632478632479,5.9523809523809526,16.999999999999993,25.64102564102564,0.4399195575666166,0.23214285714285718
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5685.43,21.37,,40.71,,-0.31,0.45,1.1,20.0,,47.49,19.37,2.37,47.48888888888889,19.427272727272726,100.0,144.44444444444446,0.47488888888888886,0.13449650349650347
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,6624.24,23.42,,20.95,-0.13,-0.22,0.45,1.29,,,52.04,18.08,,52.044444444444444,18.155038759689923,100.0,186.66666666666666,0.5204444444444445,0.0972591362126246
Ultra Clean,UCTT,NSDQ,12,Electronics - Manufacturing Machinery,Computer and Technology,3616.91,79.51,1.81,81.25,1.05,1.06,1.9,4.2,35.0,75.72,41.85,18.93,1.2,41.847368421052636,18.93095238095238,79.24528301886791,121.05263157894738,0.5280739348370929,0.1563861283643892
"Baldwin Insurance Group, Inc.",BWIN,NSDQ,12,Insurance - Life Insurance,Finance,3577.15,25.04,1.3,29.33,1.69,1.66,1.98,2.45,20.47,14.82,12.63,10.2,0.62,12.646464646464645,10.220408163265304,19.277108433734934,23.737373737373744,0.6560353535353537,0.4305618758141552
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3240.17,50.15,1.53,71.67,1.35,1.35,1.88,2.72,,37.15,26.72,18.44,,26.675531914893618,18.437499999999996,39.25925925925924,44.6808510638298,0.6794710959454039,0.41264880952380933
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3915.51,21.17,0.08,60.63,-0.6,-1.6,0.31,1.68,,,68.29,12.6,,68.29032258064517,12.601190476190478,100.0,441.9354838709677,0.6829032258064517,0.028513642683350722
Arcutis Biotherapeutics,ARQT,NSDQ,12,Medical - Biomedical and Genetics,Medical,3042.54,24.53,1.76,34.75,-0.14,-0.21,0.34,1.19,,,72.68,20.67,,72.1470588235294,20.613445378151262,100.0,249.99999999999994,0.7214705882352941,0.08245378151260506
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,4034.67,13.68,1.06,17.17,0.68,0.7,0.85,1.06,,20.12,16.09,12.86,,16.094117647058823,12.90566037735849,21.42857142857144,24.705882352941178,0.7510588235294113,0.5223719676549865
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8689.57,44.7,0.46,55.31,1.43,0.77,1.16,2.41,,31.26,38.45,18.57,,38.5344827586207,18.547717842323653,50.64935064935063,107.7586206896552,0.7608090185676397,0.17212282157676345
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,4701.44,15.79,1.93,15.4,-1.74,-1.35,0.2,1.06,,,77.66,14.85,,78.94999999999999,14.896226415094338,100.0,430.0,0.7894999999999999,0.0346423870118473
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5246.79,67.59,1.87,68.8,2.98,2.61,3.28,4.29,26.68,22.68,20.62,15.77,0.77,20.606707317073173,15.755244755244757,25.670498084291182,30.792682926829286,0.8027388969785223,0.5116554732396315
StepStone Group,STEP,NSDQ,3,Financial - Miscellaneous Services,Finance,6550.32,54.97,1.32,71.63,2.27,2.09,2.58,3.23,,24.22,21.35,17.02,,21.306201550387595,17.018575851393187,23.444976076555047,25.1937984496124,0.9087747191900006,0.6755065491783758
Celsius,CELH,NSDQ,12,Food - Miscellaneous,Consumer Staples,9055.59,35.25,1.13,68.28,1.33,1.25,1.55,1.98,17.41,26.5,22.68,17.83,1.3,22.741935483870968,17.803030303030305,24.0,27.74193548387096,0.9475806451612904,0.6417371388301623
