Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3246.84,17.58,0.1,62.4,-0.67,-1.6,0.54,1.84,,,32.49,9.56,,32.55555555555555,9.554347826086955,100.0,240.74074074074073,0.3255555555555555,0.03968729096989966
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3605.0,25.75,1.14,33.2,0.42,0.43,0.77,1.52,,61.31,33.44,16.89,,33.44155844155844,16.94078947368421,79.06976744186048,97.40259740259741,0.4229373567608861,0.1739254385964912
Liquidia Corporation,LQDA,NSDQ,12,Medical - Biomedical and Genetics,Medical,3323.23,38.2,0.46,43.0,-1.44,-0.97,0.65,1.55,55.07,,59.0,24.7,1.07,58.769230769230774,24.64516129032258,100.0,138.46153846153845,0.5876923076923077,0.17799283154121864
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,3636.82,13.84,,14.55,-0.1,-0.21,0.22,0.66,,,63.88,20.97,,62.90909090909091,20.96969696969697,100.0,200.0,0.629090909090909,0.10484848484848484
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,9667.29,59.55,1.15,63.28,1.26,1.32,1.95,3.09,34.72,47.26,30.6,19.3,0.88,30.538461538461537,19.271844660194176,47.727272727272705,58.46153846153845,0.6398534798534801,0.3296499744506899
"Caris Life Sciences,?Inc.",CAI,NSDQ,12,Medical Services,Medical,5817.87,20.62,,37.38,,-1.76,0.32,0.74,38.83,,63.77,28.05,1.64,64.4375,27.864864864864867,100.0,131.25,0.644375,0.2123037323037323
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,3552.06,13.42,1.9,15.4,-1.74,-1.35,0.2,1.06,,,66.0,12.62,,67.1,12.660377358490566,100.0,430.0,0.6709999999999999,0.029442738043001314
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3533.86,53.32,1.56,75.0,1.35,1.35,1.91,2.72,,39.5,27.87,19.6,,27.916230366492147,19.602941176470587,41.481481481481474,42.408376963350804,0.6729805534779358,0.46224219317356546
Arcutis Biotherapeutics,ARQT,NSDQ,12,Medical - Biomedical and Genetics,Medical,3167.65,25.86,1.7,31.75,-0.36,-0.23,0.38,1.16,,,68.05,22.29,,68.05263157894737,22.293103448275865,100.0,205.26315789473682,0.6805263157894736,0.10860742705570295
Amneal Pharmaceuticals,AMRX,NSDQ,12,Medical - Drugs,Medical,4658.86,14.82,1.36,15.2,0.75,0.79,0.96,1.18,,19.76,15.44,12.51,,15.4375,12.559322033898306,21.51898734177213,22.916666666666675,0.7173897058823536,0.5480431432973805
Comstock Resources,CRK,NYSE,12,Oil and Gas - Exploration and Production - United States,Oils-Energy,5573.9,19.02,0.39,21.31,0.56,0.5,0.69,1.01,,33.96,27.63,18.74,,27.565217391304348,18.831683168316832,37.999999999999986,46.376811594202906,0.7254004576659041,0.4060581683168316
"Kiniksa Pharmaceuticals International, plc",KNSA,NSDQ,12,Medical - Biomedical and Genetics,Medical,3438.85,45.37,0.06,55.0,0.45,0.87,1.27,1.96,,100.82,35.72,23.21,,35.724409448818896,23.147959183673468,45.977011494252885,54.33070866141732,0.7770059055118108,0.4260566400473233
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,5764.92,78.59,1.23,87.34,2.84,3.61,4.39,5.8,,27.67,17.91,13.56,,17.902050113895218,13.55,21.606648199445978,32.11845102505695,0.8285436014251507,0.4218758865248227
TTM Technologies,TTMI,NSDQ,12,Electronics - Miscellaneous Components,Computer and Technology,9485.76,91.8,1.74,118.5,2.45,2.44,3.24,4.64,,37.47,28.33,19.8,,28.333333333333332,19.78448275862069,32.78688524590165,43.209876543209845,0.8641666666666663,0.45786945812807917
CLEAR Secure,YOU,NYSE,12,Internet - Software,Computer and Technology,4327.71,32.5,1.21,40.25,1.77,1.13,1.42,1.88,,18.36,22.89,17.24,,22.887323943661972,17.28723404255319,25.663716814159287,32.3943661971831,0.8918164157357943,0.5336493987049028
Workiva,WK,NYSE,12,Internet - Software,Computer and Technology,3476.01,61.93,0.62,104.0,1.21,1.61,2.13,2.96,,51.18,29.01,20.92,,29.07511737089202,20.9222972972973,32.29813664596273,38.96713615023475,0.9002103647526184,0.5369216053402799
