Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3158.19,17.1,0.1,66.09,-0.67,-1.6,0.54,1.84,,,31.6,9.3,,31.666666666666668,9.293478260869566,100.0,240.74074074074073,0.31666666666666665,0.03860367892976589
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3640.0,26.0,1.14,32.91,0.42,0.37,0.76,1.97,,61.9,33.99,13.2,,34.21052631578947,13.197969543147208,105.40540540540539,159.21052631578948,0.324561403508772,0.08289633762637916
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,9767.94,60.17,1.15,63.28,1.26,1.32,1.95,3.09,34.72,47.75,30.91,19.5,0.89,30.856410256410257,19.472491909385116,47.727272727272705,58.46153846153845,0.6465152625152628,0.33308209845000863
Liquidia Corporation,LQDA,NSDQ,12,Medical - Biomedical and Genetics,Medical,3744.29,43.04,0.46,43.0,-1.44,-0.97,0.65,1.55,55.07,,66.47,27.83,1.21,66.21538461538461,27.76774193548387,100.0,138.46153846153845,0.6621538461538461,0.20054480286738352
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3524.58,53.18,1.56,75.0,1.35,1.35,1.91,2.72,,39.39,27.79,19.55,,27.842931937172775,19.551470588235293,41.481481481481474,42.408376963350804,0.6712135377711296,0.46102850399419004
"Caris Life Sciences,?Inc.",CAI,NSDQ,12,Medical Services,Medical,6207.23,22.0,,37.38,,-1.76,0.32,0.74,38.83,,68.04,29.93,1.75,68.75,29.72972972972973,100.0,131.25,0.6875,0.22651222651222652
Amneal Pharmaceuticals,AMRX,NSDQ,12,Medical - Drugs,Medical,4564.55,14.52,1.36,14.4,0.75,0.79,0.96,1.17,,19.36,15.18,12.36,,15.125,12.41025641025641,21.51898734177213,21.875,0.7028676470588242,0.5673260073260074
Arcutis Biotherapeutics,ARQT,NSDQ,12,Medical - Biomedical and Genetics,Medical,3346.49,27.32,1.7,31.75,-0.36,-0.23,0.38,1.16,,,71.89,23.55,,71.89473684210526,23.551724137931036,100.0,205.26315789473682,0.7189473684210526,0.11473916887709992
"Kiniksa Pharmaceuticals International, plc",KNSA,NSDQ,12,Medical - Biomedical and Genetics,Medical,3266.04,43.09,0.06,55.0,0.45,0.87,1.27,1.96,,95.76,33.93,22.04,,33.92913385826772,21.984693877551024,45.977011494252885,54.33070866141732,0.7379586614173227,0.4046458148476783
Axos Financial,AX,NYSE,6,Financial - Miscellaneous Services,Finance,5725.07,101.01,1.27,110.33,8.07,7.37,8.52,9.93,,12.52,11.86,10.18,,11.855633802816902,10.172205438066467,15.603799185888722,16.5492957746479,0.7597914880587884,0.6146609243427392
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,3705.15,14.1,,14.5,-0.1,-0.21,0.18,0.66,,,76.91,21.36,,78.33333333333333,21.363636363636363,100.0,266.6666666666667,0.7833333333333333,0.08011363636363636
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,5710.27,77.845,1.23,86.25,2.84,3.6,4.32,5.74,,27.41,18.0,13.57,,18.019675925925924,13.56184668989547,19.999999999999996,32.870370370370374,0.9009837962962963,0.4125857584531579
Robert Half Inc.,RHI,NYSE,12,Staffing Firms,Business Services,3177.25,31.4,0.88,32.56,1.33,1.31,1.59,2.44,,23.61,19.71,12.87,,19.748427672955973,12.868852459016393,21.37404580152671,53.45911949685534,0.923944294699012,0.24072324011571847
CLEAR Secure,YOU,NYSE,12,Internet - Software,Computer and Technology,4495.49,33.76,1.21,40.25,1.77,1.13,1.42,1.88,,19.07,23.77,17.91,,23.774647887323944,17.95744680851064,25.663716814159287,32.3943661971831,0.9263914521612435,0.5543385753931545
