Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,3550.93,100.71,2.32,106.43,-10.67,-4.31,3.64,8.08,,,27.63,12.46,,27.667582417582416,12.464108910891088,100.0,121.97802197802199,0.27667582417582415,0.10218323521541342
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3365.6,24.04,1.06,33.2,0.42,0.37,0.76,1.97,,57.24,31.42,12.2,,31.63157894736842,12.203045685279188,105.40540540540539,159.21052631578948,0.30009446693657227,0.07664722909762134
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3462.94,18.75,0.07,58.23,-0.6,-1.6,0.49,1.98,,,38.49,9.48,,38.26530612244898,9.46969696969697,100.0,304.0816326530612,0.38265306122448983,0.031141956477526954
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,8434.78,51.93,1.12,64.39,1.26,1.32,1.95,3.09,34.72,41.21,26.68,16.83,0.77,26.630769230769232,16.80582524271845,47.727272727272705,58.46153846153845,0.5579780219780223,0.2874680633622893
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,6392.64,25.44,,45.0,,-0.31,0.45,1.08,,,56.53,23.67,,56.53333333333333,23.555555555555554,100.0,140.0,0.5653333333333334,0.16825396825396824
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3317.8,50.57,1.49,75.0,1.35,1.35,1.91,2.72,,37.46,26.43,18.59,,26.476439790575917,18.59191176470588,41.481481481481474,42.408376963350804,0.6382713163799553,0.43840187000726194
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,3939.21,13.23,1.91,15.4,-1.74,-1.35,0.2,1.06,,,65.07,12.44,,66.14999999999999,12.481132075471697,100.0,430.0,0.6614999999999999,0.029025888547608597
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,4676.32,63.75,1.22,89.73,2.84,3.62,4.4,5.8,,22.45,14.5,10.99,,14.488636363636363,10.991379310344827,21.54696132596685,31.818181818181813,0.6724213286713286,0.3454433497536946
PBF Energy,PBF,NYSE,12,Oil and Gas - Refining and Marketing,Oils-Energy,5086.32,43.5,0.41,35.92,-4.15,-4.75,0.58,1.53,16.08,,74.42,28.49,4.63,75.0,28.431372549019606,100.0,163.7931034482759,0.75,0.17358101135190915
Noble Corporation PLC,NE,NYSE,12,Oil and Gas - Drilling,Oils-Energy,7370.82,46.3,1.07,40.25,0.67,0.77,1.15,2.49,,69.1,40.09,18.56,,40.26086956521739,18.594377510040157,49.35064935064935,116.52173913043482,0.815812356979405,0.15957861295929981
TTM Technologies,TTMI,NSDQ,12,Electronics - Miscellaneous Components,Computer and Technology,9372.63,90.64,1.74,118.5,2.45,2.44,3.24,4.64,,37.0,27.98,19.55,,27.975308641975307,19.53448275862069,32.78688524590165,43.209876543209845,0.8532469135802465,0.4520837438423649
AAON,AAON,NSDQ,12,Building Products - Air Conditioner and Heating,Construction,6837.85,83.9,1.09,114.5,1.35,1.39,2.02,2.94,16.0,62.15,41.53,28.5,2.6,41.53465346534654,28.537414965986397,45.32374100719425,45.54455445544554,0.9163994970925663,0.6265823720792666
Alignment Healthcare,ALHC,NSDQ,12,Medical Services,Medical,3470.99,16.99,1.18,25.5,-0.01,-0.12,0.18,0.42,37.98,,94.39,40.04,2.49,94.38888888888889,40.45238095238095,100.0,133.33333333333334,0.9438888888888889,0.3033928571428571
