Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5097.51,7.49,0.67,11.1,,1.0,1.2,1.56,23.96,,6.24,4.8,0.26,6.241666666666667,4.801282051282051,19.999999999999996,30.000000000000004,0.31208333333333343,0.16004273504273503
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,5234.2,148.45,2.32,106.43,-10.67,-4.31,3.64,8.08,,,40.73,18.36,,40.78296703296703,18.372524752475247,100.0,121.97802197802199,0.40782967032967027,0.15062159932209435
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5038.22,20.05,,41.71,,-0.31,0.45,1.1,20.0,,44.56,18.17,2.23,44.55555555555556,18.227272727272727,100.0,144.44444444444446,0.4455555555555556,0.12618881118881117
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3107.04,16.8,0.07,61.56,-0.6,-1.6,0.35,1.87,,,48.52,8.98,,48.00000000000001,8.983957219251337,100.0,434.28571428571433,0.4800000000000001,0.020686743596960315
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,5746.42,113.23,0.34,112.8,-3.01,-2.25,2.1,7.51,,,53.92,15.08,,53.91904761904762,15.077230359520641,100.0,257.6190476190476,0.5391904761904762,0.05852529344730748
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,4859.7,66.25,1.22,88.85,3.74,3.62,4.57,5.79,,17.71,14.48,11.44,,14.496717724288839,11.442141623488773,26.243093922651937,26.69584245076586,0.5524012438097431,0.4286113706503582
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,3316.91,11.14,1.91,15.4,-1.74,-1.35,0.2,1.06,,,54.79,10.48,,55.7,10.50943396226415,100.0,430.0,0.557,0.024440544098288722
Calix,CALX,NYSE,12,Internet - Software,Computer and Technology,3298.77,50.28,1.49,75.0,1.35,1.35,1.91,2.72,,37.24,26.28,18.49,,26.324607329842934,18.485294117647058,41.481481481481474,42.408376963350804,0.6346110695587137,0.43588779956426993
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,9022.76,55.55,1.12,65.06,1.26,1.32,1.92,3.03,34.72,44.09,28.98,18.36,0.83,28.932291666666668,18.333333333333332,45.45454545454544,57.8125,0.6365104166666669,0.3171171171171171
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,7853.68,40.4,0.39,55.15,1.43,0.77,1.16,2.41,,28.25,34.75,16.78,,34.827586206896555,16.76348547717842,50.64935064935063,107.7586206896552,0.6876215738284707,0.1555651452282157
