Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,4306.53,15.36,,20.95,-0.13,-0.22,0.45,1.29,,,34.13,11.86,,34.13333333333333,11.906976744186046,100.0,186.66666666666666,0.3413333333333333,0.0637873754152824
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5607.94,8.24,0.7,11.1,,1.0,1.17,1.56,23.96,,7.01,5.28,0.29,7.0427350427350435,5.282051282051282,16.999999999999993,33.33333333333335,0.41427853192559094,0.15846153846153838
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5408.74,20.33,,41.71,,-0.31,0.45,1.1,20.0,,45.18,18.43,2.26,45.17777777777777,18.481818181818177,100.0,144.44444444444446,0.4517777777777777,0.12795104895104892
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,5290.69,104.25,0.25,112.8,-3.01,-2.25,2.1,7.51,,,49.64,13.88,,49.64285714285714,13.881491344873503,100.0,257.6190476190476,0.4964285714285714,0.05388379265108015
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,6714.02,190.42,1.94,106.43,-10.67,-4.31,3.64,8.08,,,52.25,23.55,,52.31318681318681,23.566831683168314,100.0,121.97802197802199,0.5231318681318681,0.19320555704219067
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,3540.06,19.14,0.08,60.63,-0.6,-1.6,0.34,1.87,,,56.92,10.23,,56.29411764705882,10.235294117647058,100.0,450.0,0.5629411764705882,0.022745098039215685
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,3549.16,11.92,1.93,15.4,-1.74,-1.35,0.2,1.06,,,58.62,11.21,,59.599999999999994,11.245283018867925,100.0,430.0,0.596,0.026151820974111454
BRP,DOO,NSDQ,1,Automotive - Original Equipment,Auto-Tires-Trucks,5338.7,72.78,1.15,88.44,3.74,3.62,4.57,5.87,,19.46,15.94,12.4,,15.925601750547045,12.398637137989779,26.243093922651937,28.446389496717718,0.6068492456524242,0.4358597824662562
KnightSwift Transportation,KNX,NYSE,12,Transportation - Truck,Transportation,9518.16,58.6,1.11,65.28,1.26,1.32,1.92,3.03,34.72,46.51,30.58,19.37,0.88,30.520833333333336,19.33993399339934,45.45454545454544,57.8125,0.6714583333333336,0.33452858799393453
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,7758.42,39.91,0.46,55.15,1.43,0.77,1.16,2.41,,27.91,34.33,16.58,,34.4051724137931,16.560165975103732,50.64935064935063,107.7586206896552,0.6792816091954026,0.1536783402489626
Bilibili,BILI,NSDQ,12,Broadcast Radio and Television,Consumer Discretionary,9559.25,23.05,0.87,29.48,0.82,0.8,1.04,1.46,,28.11,22.22,15.84,,22.16346153846154,15.787671232876713,30.000000000000004,40.38461538461537,0.7387820512820512,0.3909328114807568
Zillow Group Class A,ZG,NSDQ,12,Financial - Mortgage & Related Services,Finance,9750.67,40.64,2.1,74.23,1.64,1.67,2.1,2.7,24.83,24.78,19.37,15.03,0.78,19.35238095238095,15.05185185185185,25.74850299401199,28.57142857142858,0.7515924695459575,0.5268148148148146
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,3792.83,12.86,1.06,17.17,0.68,0.7,0.84,1.05,,18.91,15.25,12.25,,15.30952380952381,12.247619047619047,19.999999999999996,25.0,0.7654761904761906,0.48990476190476184
"Life360, Inc.",LIF,NSDQ,12,Security and Safety Services,Industrial Products,3242.45,40.43,3.9,67.22,0.56,1.07,1.43,1.97,,72.2,28.27,20.52,,28.272727272727273,20.522842639593907,33.644859813084096,37.762237762237774,0.8403282828282832,0.5434752773077645
Noble Corporation PLC,NE,NYSE,12,Oil and Gas - Drilling,Oils-Energy,7951.32,49.86,1.0,40.25,0.67,0.77,1.15,2.49,,74.42,43.17,19.98,,43.356521739130436,20.024096385542165,49.35064935064935,116.52173913043482,0.8785400457665905,0.17184858838338418
Celsius,CELH,NSDQ,12,Food - Miscellaneous,Consumer Staples,8757.74,34.08,1.13,69.67,1.33,1.25,1.56,1.99,18.82,25.62,21.83,17.14,1.16,21.846153846153843,17.125628140703515,24.8,27.564102564102555,0.8808933002481388,0.6213018581278487
AAON,AAON,NSDQ,12,Building Products - Air Conditioner and Heating,Construction,6638.08,81.36,1.2,114.5,1.35,1.39,2.02,2.94,16.0,60.27,40.28,27.64,2.52,40.277227722772274,27.6734693877551,45.32374100719425,45.54455445544554,0.8886562942008485,0.6076131322094055
