Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,5294.63,18.66,,23.38,-0.1,-0.22,0.6,1.43,,,31.23,13.05,,31.1,13.04895104895105,100.0,138.33333333333334,0.311,0.09432976661892324
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5515.15,20.73,,40.71,,-0.31,0.55,1.2,20.0,,37.69,17.27,1.88,37.69090909090909,17.275000000000002,100.0,118.18181818181816,0.37690909090909086,0.14617307692307696
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,6825.8,22.64,2.34,20.3,-0.59,-1.35,0.47,1.1,30.43,,48.17,20.52,1.58,48.17021276595745,20.581818181818182,100.0,134.04255319148942,0.48170212765957454,0.1535468975468975
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,4237.8,84.07,0.14,112.2,-1.22,-2.25,1.7,5.65,,,49.45,14.88,,49.45294117647059,14.879646017699113,100.0,232.3529411764706,0.4945294117647059,0.06403898286098351
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,5901.04,167.05,1.91,127.0,-4.33,-4.31,2.93,7.64,,,56.93,21.86,,57.01365187713311,21.8651832460733,100.0,160.7508532423208,0.5701365187713311,0.13601908049043476
"Chime Financial, Inc.",CHYM,NSDQ,12,Financial - Miscellaneous Services,Finance,6782.14,17.8,,30.25,-7.43,-4.43,0.29,0.75,,,62.35,23.64,,61.379310344827594,23.733333333333334,100.0,158.6206896551724,0.613793103448276,0.1496231884057971
Vishay Intertechnology,VSH,NYSE,12,Semiconductor - Discretes,Computer and Technology,6416.27,47.25,1.53,38.67,0.03,-0.04,0.75,1.54,,1575.0,62.72,30.68,,63.0,30.68181818181818,100.0,105.33333333333333,0.63,0.291283084004603
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,3556.88,12.06,1.04,17.06,0.7,0.7,0.84,1.08,,17.23,14.3,11.17,,14.357142857142858,11.166666666666666,19.999999999999996,28.57142857142858,0.717857142857143,0.3908333333333332
"Lazard, Inc.",LAZ,NYSE,12,Financial - Miscellaneous Services,Finance,5367.68,48.06,1.44,52.56,2.3,2.32,2.85,4.78,32.86,20.9,16.88,10.05,0.51,16.863157894736844,10.05439330543933,22.844827586206918,67.71929824561404,0.7381608738828196,0.14847161098705744
Catalyst Pharmaceuticals,CPRX,NSDQ,12,Medical - Drugs,Medical,3825.63,31.26,0.72,33.5,2.83,2.53,2.88,3.28,12.47,11.05,10.87,9.53,0.87,10.854166666666668,9.53048780487805,13.833992094861669,13.888888888888884,0.78460119047619,0.6861951219512198
Steven Madden,SHOO,NSDQ,12,Shoes and Retail Apparel ,Consumer Discretionary,3064.45,41.93,1.12,45.38,1.56,1.68,2.09,2.63,,26.88,20.09,15.96,,20.0622009569378,15.94296577946768,24.404761904761905,25.837320574162682,0.8220609172598904,0.6170518236868047
"Life360, Inc.",LIF,NSDQ,12,Security and Safety Services,Industrial Products,3259.11,40.22,2.81,61.81,0.7,1.07,1.43,1.97,,57.46,28.13,20.42,,28.125874125874127,20.416243654822335,33.644859813084096,37.762237762237774,0.8359634809634814,0.5406523782665913
Compass,COMP,NYSE,12,Internet - Software,Computer and Technology,6276.08,8.4,2.45,12.82,0.02,-0.08,0.1,0.41,,420.0,86.54,20.44,,84.0,20.48780487804878,100.0,309.99999999999994,0.84,0.06608969315499608
Alignment Healthcare,ALHC,NSDQ,12,Medical Services,Medical,3380.1,16.35,1.26,25.15,0.09,-0.12,0.19,0.45,37.98,181.67,86.97,36.33,2.29,86.05263157894737,36.333333333333336,100.0,136.84210526315786,0.8605263157894737,0.2655128205128206
Himax Technologies,HIMX,NSDQ,12,Electronics - Semiconductors,Computer and Technology,3669.92,21.04,2.03,23.7,0.2,0.25,0.4,0.72,,105.2,52.6,29.22,,52.599999999999994,29.22222222222222,60.00000000000001,79.99999999999999,0.8766666666666665,0.3652777777777778
StepStone Group,STEP,NSDQ,3,Financial - Miscellaneous Services,Finance,6403.77,53.74,1.34,73.0,2.16,2.1,2.57,3.47,,24.88,20.89,15.49,,20.910505836575876,15.487031700288185,22.38095238095237,35.0194552529183,0.9342991969533907,0.44224079410822914
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5166.37,65.76,1.87,70.6,2.84,2.61,3.17,4.25,26.33,23.16,20.72,15.49,0.79,20.74447949526814,15.47294117647059,21.45593869731801,34.069400630914835,0.9668409193330328,0.4541594771241829
Colliers International Group,CIGI,NSDQ,12,Real Estate - Operations,Finance,4909.56,96.07,1.31,149.44,6.61,6.64,7.51,8.51,,14.53,12.79,11.29,,12.792276964047936,11.289071680376027,13.102409638554224,13.315579227696395,0.9763301039227384,0.8478092831962403
