Company Name,Ticker,Exchange,Month of Fiscal Yr End,Industry,Sector,Market Cap (mil),Last Close,Beta,Average Target Price,12 Mo Trailing EPS,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Long-Term Growth Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,PE1,PE2,EG1,EG2,PEG1,PEG2
Avis Budget Group,CAR,NSDQ,12,Transportation - Services,Transportation,5148.62,145.75,1.91,126.71,-4.33,-4.31,3.72,7.65,,,39.15,19.06,,39.18010752688172,19.052287581699346,100.0,105.64516129032259,0.3918010752688172,0.18034226413211593
Grifols,GRFS,NSDQ,12,Medical - Drugs,Medical,5512.66,8.1,0.68,11.1,,1.0,1.16,1.45,27.15,,6.98,5.59,0.26,6.982758620689656,5.586206896551724,15.999999999999993,25.0,0.43642241379310365,0.22344827586206897
Almonty Industries Inc.,ALM,NSDQ,12,Mining - Miscellaneous,Basic Materials,5566.39,19.68,,21.53,-0.13,-0.22,0.45,1.29,,,43.73,15.2,,43.733333333333334,15.25581395348837,100.0,186.66666666666666,0.43733333333333335,0.08172757475083056
Hesai Group Sponsored ADR,HSAI,NSDQ,12,Automotive - Original Equipment,Auto-Tires-Trucks,3024.0,21.6,1.5,31.61,0.4,0.37,0.65,1.19,,54.0,33.23,18.15,,33.23076923076923,18.151260504201684,75.67567567567568,83.07692307692307,0.43912087912087916,0.21848739495798325
EquipmentShare.com Inc.,EQPT,NSDQ,12,Industrial Services,Industrial Products,5799.82,21.8,,39.71,,-0.31,0.47,1.15,20.0,,46.06,18.9,2.3,46.38297872340426,18.956521739130437,100.0,144.68085106382978,0.46382978723404256,0.13102301790281332
"Core Natural Resources, Inc.",CNR,NYSE,12,Coal,Oils-Energy,4309.18,84.91,0.14,113.2,-1.22,-2.25,1.7,5.65,,,49.95,15.03,,49.94705882352941,15.028318584070796,100.0,232.3529411764706,0.4994705882352941,0.06467883947574772
Oscar Health,OSCR,NYSE,12,Insurance - Multi line,Finance,6345.01,21.31,2.34,18.67,-0.59,-1.35,0.34,1.1,30.43,,63.3,19.31,2.08,62.67647058823528,19.37272727272727,100.0,223.52941176470588,0.6267647058823528,0.08666746411483253
Vishay Intertechnology,VSH,NYSE,12,Semiconductor - Discretes,Computer and Technology,4652.3,34.26,1.53,21.0,-0.05,-0.04,0.52,1.08,,,65.46,31.63,,65.88461538461537,31.722222222222218,100.0,107.69230769230771,0.6588461538461537,0.29456349206349197
"Lazard, Inc.",LAZ,NYSE,12,Financial - Miscellaneous Services,Finance,5369.91,48.08,1.44,52.33,2.3,2.32,2.85,4.78,32.86,20.9,16.89,10.06,0.51,16.87017543859649,10.05857740585774,22.844827586206918,67.71929824561404,0.7384680569347891,0.14853339692587852
DLocal Limited,DLO,NSDQ,12,Financial Transaction Services,Business Services,4040.57,13.7,1.04,17.06,0.68,0.7,0.85,1.07,,20.15,16.12,12.8,,16.11764705882353,12.803738317757007,21.42857142857144,25.88235294117649,0.7521568627450975,0.4946898895497022
GDS Holdings,GDS,NSDQ,12,Technology Services,Business Services,8602.11,44.25,0.46,55.31,1.43,0.77,1.16,2.41,,30.94,38.06,18.38,,38.146551724137936,18.360995850622405,50.64935064935063,107.7586206896552,0.7531498673740057,0.17039004149377587
Celsius,CELH,NSDQ,12,Food - Miscellaneous,Consumer Staples,8295.17,32.29,0.95,66.17,1.56,1.25,1.58,2.0,15.9,20.7,20.37,16.11,1.28,20.43670886075949,16.145,26.400000000000002,26.582278481012644,0.7741177598772534,0.6073595238095242
Compass,COMP,NYSE,12,Internet - Software,Computer and Technology,6472.64,8.72,2.45,12.82,0.02,-0.08,0.1,0.41,,436.0,89.83,21.21,,87.2,21.26829268292683,100.0,309.99999999999994,0.872,0.06860739575137688
Bilibili,BILI,NSDQ,12,Broadcast Radio and Television,Consumer Discretionary,9148.68,22.06,0.79,29.84,0.82,0.8,1.0,1.42,,26.9,21.95,15.56,,22.06,15.535211267605634,25.0,41.99999999999999,0.8824,0.369885982562039
Moelis & Company,MC,NYSE,12,Financial - Investment Bank,Finance,5051.97,65.08,1.87,70.5,2.84,2.61,3.2,4.27,26.33,22.92,20.36,15.25,0.77,20.3375,15.24121779859485,22.60536398467434,33.437499999999986,0.8996758474576266,0.45581212107947233
StepStone Group,STEP,NSDQ,3,Financial - Miscellaneous Services,Finance,6642.09,55.74,1.34,71.38,2.27,2.1,2.6,3.43,,24.56,21.48,16.25,,21.43846153846154,16.250728862973762,23.809523809523814,31.92307692307692,0.9004153846153845,0.5090589764305035
Legend Biotech,LEGN,NSDQ,12,Medical - Biomedical and Genetics,Medical,5200.96,28.12,0.29,60.65,-0.6,-1.6,0.31,1.68,,,90.71,16.74,,90.70967741935485,16.73809523809524,100.0,441.9354838709677,0.9070967741935485,0.03787452207160238
"Life360, Inc.",LIF,NSDQ,12,Security and Safety Services,Industrial Products,3554.31,44.05,2.81,66.37,0.56,1.07,1.43,1.97,,78.66,30.8,22.36,,30.804195804195803,22.360406091370557,33.644859813084096,37.762237762237774,0.9155691530691534,0.5921366798270349
"Chime Financial, Inc.",CHYM,NSDQ,12,Financial - Miscellaneous Services,Finance,7077.04,18.425,,30.5,-7.43,-4.43,0.19,0.84,,,99.13,21.85,,96.97368421052632,21.93452380952381,100.0,342.1052631578947,0.9697368421052631,0.06411630036630038
